2024-11-11 02:07:28 | ::1 | Container TRSF 0002536 9 registrado por Master Masters
2024-11-11 02:18:19 | ::1 | Container TR12588555222-08 (Ordem: W465) excluído por master
2024-11-11 02:18:23 | ::1 | Container TRSF 0002536 9 (Ordem: W2522) excluído por master
2024-11-11 02:19:48 | ::1 | Container DFGH 1256547 8 registrado por Master Masters
2024-11-11 02:19:48 | ::1 | Container DFGH 1256547 8 registrado com sucesso por master
2024-11-11 02:21:54 | ::1 | Container GTYU 5888996 8 registrado por Master Masters
2024-11-11 02:21:54 | ::1 | Container GTYU 5888996 8 registrado com sucesso por master
2024-11-11 02:31:57 | ::1 | master | Container GTYU 5888996 8 excluído por master
2024-11-11 02:31:57 | ::1 | master | Container GTYU 5888996 8 (Ordem: W345) excluído por master
2024-11-11 02:32:00 | ::1 | master | Container DFGH 1256547 8 excluído por master
2024-11-11 02:32:00 | ::1 | master | Container DFGH 1256547 8 (Ordem: W258) excluído por master
2024-11-11 02:39:06 | ::1 | master | Container GFTT 1522226 8 registrado por Master Masters
2024-11-11 02:43:02 | ::1 | master | Container GFTT 1522226 8 excluído por master
2024-11-11 02:44:12 | ::1 | master | Container WEWE 1236589 7 registrado por Master Masters
2024-11-11 02:49:30 | ::1 | master | Container ERRE 1252545 8 registrado por Master Masters
2024-11-12 01:11:41 | ::1 | master | Container WEWE 1236589 7 excluído por master
2024-11-12 01:11:41 | ::1 | master | Container WEWE 1236589 7 (Ordem: W345) excluído por master
2024-11-12 01:11:46 | ::1 | master | Container ERRE 1252545 8 excluído por master
2024-11-12 01:11:46 | ::1 | master | Container ERRE 1252545 8 (Ordem: W256) excluído por master
2024-11-12 01:25:12 | ::1 | master | Colunas não encontradas: CÓDIGO, COD BARRAS, DESCRIÇÃO, CX
2024-11-12 01:25:12 | ::1 | master | Erro ao processar Excel: Formato de planilha inválido. Colunas necessárias não encontradas.
2024-11-12 01:25:12 | ::1 | master | Detalhes do erro: #0 C:\xampp\htdocs\cim\recebimento.php(78): processarPlanilha('C:\\xampp\\tmp\\ph...')
#1 {main}
2024-11-12 01:32:42 | ::1 | master | Iniciando processamento da planilha
2024-11-12 01:32:42 | ::1 | master | Tipo do arquivo: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2024-11-12 01:32:42 | ::1 | master | Leitor criado com sucesso
2024-11-12 01:32:42 | ::1 | master | Planilha carregada
2024-11-12 01:32:42 | ::1 | master | Dimensões da planilha - Colunas: A até O, Linhas: 51
2024-11-12 01:32:42 | ::1 | master | Coluna encontrada: F => MEDIDA INNER
2024-11-12 01:32:42 | ::1 | master | Coluna encontrada: I => MEDIDA CAIXA
2024-11-12 01:32:42 | ::1 | master | Coluna encontrada: L => TIPO
2024-11-12 01:32:42 | ::1 | master | Coluna encontrada: M => INNER
2024-11-12 01:32:42 | ::1 | master | Colunas não encontradas: CÓDIGO, COD BARRAS, DESCRIÇÃO, CX
